source,label,agree,disagree,publisher,site
AARP,Center,1514,2642,http://www.aarp.org/,www.aarp.org
ABC News,Lean Left,17109,10929,http://abcnews.go.com/,abcnews.go.com
Abridge News,Mixed,145,95,https://abridgenews.com,abridgenews.com
Accuracy in Media ,Right,814,501,http://www.aim.org,www.aim.org
ACLU,Lean Left,1436,1975,https://www.aclu.org/,www.aclu.org
AJ+,Left,156,72,https://www.ajplus.net/,www.ajplus.net
Al Jazeera,Lean Left,3956,6409,https://www.aljazeera.com/,www.aljazeera.com
AllSides,Mixed,3507,1413,http://www.allsides.com,www.allsides.com
AlterNet,Left,4947,1167,http://www.alternet.org/,www.alternet.org
American Conservative Union,Right,704,385,http://conservative.org/,conservative.org
American Greatness,Right,161,72,https://amgreatness.com/,amgreatness.com
American Spectator,Right,8384,3242,http://spectator.org/,spectator.org
American Thinker,Right,1495,848,http://www.americanthinker.com/,www.americanthinker.com
Americans for Democratic Action,Left,584,258,http://www.adaction.org,www.adaction.org
Americans for Tax Reform,Right,601,427,http://www.atr.org/,www.atr.org
Aquinas College Saint,Left,841,548,http://www.aquinas.edu/thesaint/,www.aquinas.edu
Arkansas Democrat-Gazette,Left,885,692,http://www.arkansasonline.com/,www.arkansasonline.com
Associated Press,Center,10708,7710,http://www.ap.org/,www.ap.org
Association for Psychological Science,Center,690,583,http://www.psychologicalscience.org/,www.psychologicalscience.org
Atlanta Journal-Constitution,Lean Left,844,765,http://www.ajc.com/,www.ajc.com
Atlas Network,Right,307,208,https://www.atlasnetwork.org/,www.atlasnetwork.org
AtlasOne,Lean Right,243,274,http://atlasone.org/,atlasone.org
Austin American-Statesman,Lean Left,733,580,http://www.mystatesman.com/,www.mystatesman.com
Axios,Center,1611,1877,https://www.axios.com/,www.axios.com
AZ Central,Center,78,119,https://www.azcentral.com/,www.azcentral.com
Barnstable Patriot,Center,496,573,http://www.barnstablepatriot.com/,www.barnstablepatriot.com
BBC News,Center,13903,13306,http://www.bbc.com/,www.bbc.com
Bearing Drift,Right,589,517,http://www.bearingdrift.com,www.bearingdrift.com
Better Angels,Mixed,59,53,https://www.better-angels.org/,www.better-angels.org
Bloomberg,Center,7825,10595,http://www.bloomberg.com/,www.bloomberg.com
Blue Virginia,Left,699,518,http://www.bluevirginia.us,www.bluevirginia.us
Boing Boing,Left,819,546,http://boingboing.net/,boingboing.net
Bowling Green Daily News,Lean Left,553,604,http://www.bgdailynews.com/,www.bgdailynews.com
Breitbart News,Right,20707,8594,http://www.breitbart.com/,www.breitbart.com
Brookings Institution,Center,2319,1539,https://www.brookings.edu/,www.brookings.edu
Business Insider,Center,2173,2708,http://www.businessinsider.com/,www.businessinsider.com
Bustle,Lean Left,745,758,http://www.bustle.com/,www.bustle.com
BuzzFeed News,Left,9220,7132,http://buzzfeednews.com,buzzfeednews.com
C-SPAN,Center,2961,922,http://www.c-span.org/,www.c-span.org
CalMatters,Center,640,516,http://calmatters.org/,calmatters.org
CalWatchdog,Center,513,541,http://www.calwatchdog.com/,www.calwatchdog.com
Care2,Left,564,605,http://www.care2.com,www.care2.com
Carnegie Endowment for International Peace,Center,416,340,http://carnegieendowment.org,carnegieendowment.org
Cato Institute (blog),Lean Right,957,1450,http://www.cato.org,www.cato.org
CBN,Right,6476,3405,http://www.cbn.com/,www.cbn.com
CBS News,Lean Left,8766,6570,http://www.cbsnews.com/,www.cbsnews.com
Center For American Progress,Lean Left,949,1380,http://www.americanprogress.org,www.americanprogress.org
Center for Media & Democracy PR Watch,Lean Left,248,258,http://www.prwatch.org,www.prwatch.org
Center for Public Integrity,Lean Left,650,731,http://www.publicintegrity.org/,www.publicintegrity.org
Center on Budget and Policy Priorities,Left,722,650,http://www.cbpp.org,www.cbpp.org
Centre View,Lean Left,542,606,http://www.centre-view.com,www.centre-view.com
Check Your Fact,Lean Right,29,33,https://checkyourfact.com/,checkyourfact.com
Chicago Sun-Times,Lean Left,727,715,http://chicago.suntimes.com/,chicago.suntimes.com
Chicago Tribune,Center,1866,3335,http://www.chicagotribune.com/,www.chicagotribune.com
Children’s Defense Fund,Left,236,250,http://www.childrensdefense.org,www.childrensdefense.org
Christian Science Monitor,Center,10247,13266,http://www.csmonitor.com/,www.csmonitor.com
Christianity Today,Lean Right,60,86,http://www.christianitytoday.com/,www.christianitytoday.com
City Journal,Right,310,258,http://www.city-journal.org,www.city-journal.org
CivilPolitics.org,Center,240,238,http://www.civilpolitics.org/,www.civilpolitics.org
CNBC,Center,1758,4345,http://cnbc.com,cnbc.com
CNET,Center,242,195,http://www.cnet.com,www.cnet.com
CNN (Web News),Lean Left,30563,32343,http://edition.cnn.com,edition.cnn.com
CNN - Editorial,Left,11793,3209,https://edition.cnn.com/opinions,edition.cnn.com
CNSNews.com,Right,810,692,http://cnsnews.com/,cnsnews.com
Coffee Party USA,Center,34,34,https://coffeepartyusa.com/,coffeepartyusa.com
Columbia Journalism Review,Center,163,292,http://www.cjr.org/index.php,www.cjr.org
Commentary Magazine,Right,186,200,https://www.commentarymagazine.com/,www.commentarymagazine.com
